,name,protein,fat,carbohydrates
0,apple pie,3.25,8.13,46.3
1,baby back ribs,18.8,9.82,0.0
2,baklava,6.6,29.0,37.8
3,beef carpaccio,18.5,6.0,4.2
4,beef tartare,17.4,15.6,0.34
5,beet salad,1.32,5.29,11.0
6,beignets,5.46,20.2,53.7
7,bibimbap,5.51,2.92,8.18
8,bread pudding,4.42,12.4,43.4
9,breakfast burrito,8.13,7.77,26.2
10,bruschetta,4.29,7.61,21.3
11,caesar salad,4.0,16.0,8.0
12,cannoli,6.32,14.7,42.1
13,caprese salad,5.76,10.5,9.42
14,carrot cake,3.7,33.3,59.3
15,ceviche,10.5,0.76,3.58
16,cheese plate,6.46,11.5,15.6
17,cheesecake,7.02,19.3,36.8
18,chicken curry,6.47,6.45,6.47
19,chicken quesadilla,14.2,10.6,22.1
20,chicken wings,18.6,18.6,0.0
21,chocolate cake,3.03,22.7,57.6
22,chocolate mousse,1.19,23.8,19.0
23,churros,6.05,22.2,48.9
24,clam chowder,3.67,8.57,6.53
25,club sandwich,16.0,7.65,21.4
26,crab cakes,14.2,16.8,7.08
27,creme brulee,4.06,2.83,17.8
28,croque madame,15.0,7.5,70.0
29,cup cakes,2.22,13.3,60.0
30,deviled eggs,10.7,25.0,0.0
31,donuts,3.51,17.5,61.4
32,dumplings,9.21,1.97,23.7
33,edamame,11.8,4.71,7.06
34,eggs benedict,13.8,22.1,8.48
35,escargots,20.0,6.91,2.48
36,falafel,8.28,41.2,29.0
37,filet mignon,15.2,15.2,0.0
38,fish and_chips,11.0,16.2,21.7
39,foie gras,11.4,43.8,4.67
40,french fries,2.38,8.33,22.6
41,french onion soup,4.21,3.51,6.32
42,french toast,7.02,3.51,28.1
43,fried calamari,13.8,13.2,14.1
44,fried rice,3.33,5.0,31.7
45,frozen yogurt,3.12,8.33,21.9
46,garlic bread,7.02,15.8,43.9
47,gnocchi,3.33,0.0,33.3
48,greek salad,1.88,4.7,4.08
49,grilled cheese sandwich,11.5,12.8,31.4
50,grilled salmon,18.1,3.45,0.86
51,guacamole,0.0,16.7,6.67
52,gyoza,3.33,0.0,33.3
53,hamburger,9.3,4.65,46.5
54,hot and sour soup,2.58,1.21,4.35
55,hot dog,19.3,14.0,1.75
56,huevos rancheros,6.68,6.65,8.85
57,hummus,7.14,28.6,21.4
58,ice cream,2.65,15.0,26.6
59,lasagna,5.53,4.15,10.1
60,lobster bisque,5.23,2.61,1.69
61,lobster roll sandwich,20.9,0.95,0.0
62,macaroni and cheese,3.4,3.4,14.3
63,macarons,10.0,23.3,53.3
64,miso soup,1.92,0.8,2.08
65,mussels,15.1,2.84,4.67
66,nachos,11.3,13.2,19.8
67,omelette,1.6,0.8,11.2
68,onion rings,7.14,25.0,57.1
69,oysters,4.96,10.8,18.4
70,pad thai,4.46,3.72,25.3
71,paella,13.3,3.33,82.2
72,pancakes,6.45,2.42,53.2
73,panna cotta,3.0,10.0,30.0
74,peking duck,0.0,0.0,66.7
75,pho,6.15,2.26,10.4
76,pizza,10.6,9.22,19.2
77,pork chop,18.4,9.04,7.82
78,poutine,11.2,18.8,20.0
79,prime rib,16.7,29.2,0.06
80,pulled pork sandwich,13.2,4.42,18.7
81,ramen,12.7,2.73,63.6
82,ravioli,12.1,7.09,23.4
83,red velvet cake,3.26,17.4,67.4
84,risotto,12.9,1.43,109.0
85,samosa,5.11,17.4,33.1
86,sashimi,19.7,0.34,4.08
87,scallops,15.2,0.89,2.68
88,seaweed salad,1.0,2.5,11.0
89,shrimp and grits,8.38,7.33,7.85
90,spaghetti bolognese,6.09,6.6,7.61
91,spaghetti carbonara,1.41,1.48,8.05
92,spring rolls,9.6,6.0,44.6
93,steak,0.0,0.0,111.0
94,strawberry shortcake,2.96,13.3,31.1
95,sushi,2.92,0.67,18.4
96,tacos,6.69,9.17,15.1
97,octopus balls,13.2,13.0,13.4
98,tiramisu,5.99,24.3,29.5
99,tuna tartare,17.4,15.6,0.34
100,waffles,2.86,10.0,48.6
